date,ticker,group,qty,price,value,exchange
2026-03-23,SCHR,IEF,1,24.86,24.86,AMEX
2026-03-24,SCHR,IEF,1,24.79,24.79,AMEX
2026-03-25,SCHR,IEF,1,24.87,24.87,AMEX
2026-03-25,TLT,TLT,1,86.83,86.83,NASD
2026-03-26,SCHR,IEF,1,24.76,24.76,AMEX
2026-03-26,TLT,TLT,1,86.11,86.11,NASD
2026-03-27,SCHR,IEF,1,24.76,24.76,AMEX
2026-03-27,TLT,TLT,1,85.97,85.97,NASD
2026-03-30,SCHR,IEF,1,24.89,24.89,AMEX
2026-03-30,TLT,TLT,1,86.80,86.80,NASD
2026-03-31,SCHR,IEF,1,24.92,24.92,AMEX
2026-03-31,TLT,TLT,1,86.87,86.87,NASD
