date,total_equity,cash
2026-04-07,1334.51,531.28
2026-04-08,1363.81,531.63
2026-04-09,1181.28,377.89
2026-04-10,1357.49,378.54
2026-04-13,712.85,345.66
2026-04-14,969.43,521.63
2026-04-15,1347.63,527.46
2026-04-16,1250.13,432.02
2026-04-17,1343.75,512.42
2026-04-20,1336.98,515.34
2026-04-21,1330.70,515.34
2026-04-22,1336.01,515.34
2026-04-23,1330.14,515.34
2026-04-24,1341.89,515.34
2026-04-27,1339.24,515.34
2026-04-28,1328.84,245.70
2026-04-29,1014.73,558.63
2026-04-30,611.72,211.18
2026-05-01,1144.99,522.01
2026-05-04,1320.85,522.85
2026-05-05,1320.45,110.15
2026-05-06,1341.31,548.13
2026-05-07,1339.01,549.76
2026-05-08,1347.72,549.76
2026-05-11,1350.07,549.76
2026-05-12,1325.13,549.76
2026-05-13,746.59,559.44
2026-05-14,788.01,415.93
2026-05-15,1309.34,213.05
2026-05-18,1215.31,370.74
2026-05-19,1307.77,276.46
2026-05-20,1307.72,549.39
2026-05-21,1309.41,550.66
2026-05-22,1308.69,550.66
2026-05-26,1309.02,550.66
2026-05-27,757.87,575.33
2026-05-28,1035.19,127.47
2026-05-29,1311.79,251.69
2026-06-01,1205.32,256.34
2026-06-02,1306.57,533.77
2026-06-03,1302.55,535.02
2026-06-04,1302.65,537.02
2026-06-05,694.92,515.31
2026-06-08,826.99,167.68
2026-06-09,481.01,227.89
2026-06-10,1256.74,457.66
2026-06-11,608.92,252.18
2026-06-12,992.18,190.29
2026-06-15,1277.03,193.91
2026-06-16,982.00,95.66
2026-06-17,993.81,480.87
2026-06-22,1268.70,486.93
2026-06-23,1165.42,352.61
2026-06-24,1256.76,520.52
2026-06-25,1265.89,520.52
2026-06-26,1264.53,520.52
2026-06-29,1262.29,520.52
2026-06-30,1269.18,520.52
2026-07-01,961.09,485.33
2026-07-02,808.63,376.71
2026-07-06,1251.70,474.75
2026-07-07,1045.12,728.56
2026-07-08,718.53,138.29
2026-07-09,976.87,477.76
2026-07-10,974.58,477.67
2026-07-13,1242.69,478.92
