date,strategy,daily_return,nav,net_nav,net_daily_return
2013-08-30,all_weather,-0.002594,0.997406,,
2013-08-30,baa_g12,0.000145,1.000145,,
2013-08-30,baa_g4,0.000145,1.000145,,
2013-08-30,daa,0.000145,1.000145,,
2013-08-30,eaa,-0.005443,0.994557,,
2013-08-30,faa,-0.000935,0.999065,,
2013-08-30,gem,-0.003173,0.996827,,
2013-08-30,golden_butterfly,-0.005257,0.994743,,
2013-08-30,gtaa,-0.007733,0.992267,,
2013-08-30,haa,0.000145,1.000145,,
2013-08-30,ivy,-0.009048,0.990952,,
2013-08-30,laa,-0.005057,0.994943,,
2013-08-30,paa,-0.003141,0.996859,,
2013-08-30,permanent,-0.003360,0.996640,,
2013-08-30,vaa,0.000145,1.000145,,
2013-09-03,all_weather,-0.003755,0.993661,,
2013-09-03,baa_g12,-0.000436,0.999709,,
2013-09-03,baa_g4,-0.000436,0.999709,,
2013-09-03,daa,-0.000436,0.999709,,
2013-09-03,eaa,0.008418,1.002929,,
2013-09-03,faa,0.001484,1.000547,,
2013-09-03,gem,0.004472,1.001284,,
2013-09-03,golden_butterfly,0.000836,0.995574,,
2013-09-03,gtaa,0.011875,1.004050,,
2013-09-03,haa,-0.000436,0.999709,,
2013-09-03,ivy,0.012192,1.003035,,
2013-09-03,laa,0.003992,0.998915,,
2013-09-03,paa,0.002649,0.999500,,
2013-09-03,permanent,0.000927,0.997564,,
2013-09-03,vaa,-0.000436,0.999709,,
2013-09-04,all_weather,-0.000499,0.993165,,
2013-09-04,baa_g12,-0.000873,0.998837,,
2013-09-04,baa_g4,-0.000873,0.998837,,
2013-09-04,daa,-0.000873,0.998837,,
2013-09-04,eaa,-0.010393,0.992506,,
2013-09-04,faa,-0.003524,0.997022,,
2013-09-04,gem,0.008301,1.009596,,
2013-09-04,golden_butterfly,0.000166,0.995739,,
2013-09-04,gtaa,0.008579,1.012664,,
2013-09-04,haa,-0.000873,0.998837,,
2013-09-04,ivy,0.008857,1.011918,,
2013-09-04,laa,0.000795,0.999708,,
2013-09-04,paa,0.004899,1.004396,,
2013-09-04,permanent,-0.001691,0.995877,,
2013-09-04,vaa,-0.000873,0.998837,,
2013-09-05,all_weather,-0.007889,0.985329,,
2013-09-05,baa_g12,-0.001019,0.997819,,
2013-09-05,baa_g4,-0.001019,0.997819,,
2013-09-05,daa,-0.001019,0.997819,,
2013-09-05,eaa,-0.008394,0.984174,,
2013-09-05,faa,-0.001421,0.995604,,
2013-09-05,gem,0.001272,1.010880,,
2013-09-05,golden_butterfly,-0.005766,0.989998,,
2013-09-05,gtaa,0.000280,1.012948,,
2013-09-05,haa,-0.001019,0.997819,,
2013-09-05,ivy,0.000220,1.012141,,
2013-09-05,laa,-0.005702,0.994008,,
2013-09-05,paa,0.000358,1.004756,,
2013-09-05,permanent,-0.007740,0.988169,,
2013-09-05,vaa,-0.001019,0.997819,,
2013-09-06,all_weather,0.004554,0.989817,,
2013-09-06,baa_g12,0.001020,0.998837,,
2013-09-06,baa_g4,0.001020,0.998837,,
2013-09-06,daa,0.001020,0.998837,,
2013-09-06,eaa,0.009242,0.993270,,
2013-09-06,faa,0.002614,0.998207,,
2013-09-06,gem,0.000448,1.011334,,
2013-09-06,golden_butterfly,0.004443,0.994396,,
2013-09-06,gtaa,0.002836,1.015821,,
2013-09-06,haa,0.001020,0.998837,,
